Part Name,Color,Quantity,Part ID,Color Code
"Technic Angle Connector #1","Dark Pink",3,32013.dat,5
"Technic Angle Connector #1","Neon Yellow",2,32013.dat,368
"Technic Angle Connector #6 (90 degree)","Dark Blue Violet",1,32014.dat,23
"Technic Beam  3 x  3 x  0.5 Liftarm Bent 90","Dark Green",2,32056.dat,288
"Technic Axle  2 Notched","Brown",3,32062.dat,6
"Technic Axle  5","Light Grey",3,32073.dat,7
"Technic Beam  3","Lime",2,32523.dat,27
"Technic Brick  1 x  8 with Holes","Blue",2,3702.dat,1
"Technic Axle 12","Dark Turquoise",2,3708.dat,3
"Technic Bush with Two Flanges","Red",4,3713.dat,4
"Technic Bush with Two Flanges","Modulex Strong Red",5,3713.dat,30010
"Technic Brick  1 x 12 with Holes","Black",2,3895.dat,0
"Technic Bush  1/2 Type 1","Modulex Foil Light Blue",3,4265a.dat,30087
"Plate  1 x 10","Green",4,4477.dat,2
"Technic Axle  3","Light Grey",6,4519.dat,7
"Technic Axle Joiner Inline Smooth","Sand Blue",3,59443.dat,379
"Technic Beam  3 x  0.5 Liftarm","Salmon",3,6632.dat,12
"Technic Beam  3 x  0.5 Liftarm","Pink",1,6632.dat,13
