Part Name,Color,Quantity,Part ID,Color Code
"Technic Beam  5 x  3 x  0.5 Liftarm Triangle","Green",2,2905.dat,2
"Technic Beam  5 x  3 x  0.5 Liftarm Triangle","Dark Turquoise",2,2905.dat,3
"Technic Angle Connector #1","Dark Green",2,32013.dat,288
"Technic Axle  2 Notched","Light Grey",8,32062.dat,7
"Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced","Neon Yellow",4,32123b.dat,368
"Technic Beam  3","Red",2,32523.dat,4
"Plate  1 x  8","Brown",4,3460.dat,6
"Technic Brick  1 x  8 with Holes","Light Grey",2,3702.dat,7
"Technic Axle  4","Black",4,3705.dat,0
"Technic Axle  6","Brown",1,3706.dat,6
"Technic Axle Pin","Blue",4,3749.dat,1
"Technic Brick  1 x  6 with Holes","Light Yellow",2,3894.dat,18
"Technic Beam  2 x  0.5 Liftarm","Medium Tan",4,41677.dat,371
"Technic Cross Block 1 x 3 (Axle/Pin/Pin)","Brown",2,42003.dat,6
"Technic Axle Joiner Inline Smooth","Dark Grey",4,59443.dat,8
"Technic Beam  3 x  0.5 Liftarm","Maersk Blue",5,6632.dat,313
