Part Name,Color,Quantity,Part ID,Color Code
"Technic Beam  5 x  3 x  0.5 Liftarm Triangle","Green",2,2905.dat,2
"Technic Beam  5 x  3 x  0.5 Liftarm Triangle","Dark Turquoise",2,2905.dat,3
"Technic Connector (Axle/Bush) Type 1","Modulex White",1,32039.dat,30001
"Technic Axle  2 Notched","Light Grey",4,32062.dat,7
"Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced","Neon Yellow",2,32123b.dat,368
"Technic Beam  4 x  0.5 Liftarm","Green",2,32449.dat,2
"Technic Beam  3","Red",1,32523.dat,4
"Technic Brick  1 x  8 with Holes","Light Grey",2,3702.dat,7
"Technic Axle  4","Black",1,3705.dat,0
"Technic Axle  6","Black",1,3706.dat,0
"Technic Bush with Two Flanges","Violet",2,3713.dat,110
"Technic Axle Pin","Blue",4,3749.dat,1
"Technic Axle Pin","Modulex Pink Red",2,3749.dat,30033
"Technic Brick  1 x  6 with Holes","Light Grey",2,3894.dat,7
"Technic Beam  2 x  0.5 Liftarm","Medium Tan",2,41677.dat,371
"Technic Cross Block 1 x 3 (Axle/Pin/Pin)","Brown",1,42003.dat,6
"Plate  1 x 10","Black",2,4477.dat,0
"Technic Axle Joiner Inline Smooth","Dark Grey",2,59443.dat,8
