Part Name,Color,Quantity,Part ID,Color Code
"Technic Connector (Axle/Bush) Type 1","Modulex Foil Yellow",1,32039.dat,30090
"Technic Axle  5","Light Grey",3,32073.dat,7
"Plate  1 x  6","Dark Blue",2,3666.dat,272
"Technic Brick  1 x  4 with Holes","Dark Turquoise",2,3701.dat,3
"Technic Brick  1 x  8 with Holes","Green",2,3702.dat,2
"Technic Bush with Two Flanges","Modulex Foil Light Green",2,3713.dat,30085
"Technic Axle  3","Reddish Brown",1,4519.dat,70
"Technic Axle Joiner Inline Smooth","Red",5,59443.dat,4
"Technic Beam  2 Liftarm","Black",1,60483.dat,0
"Technic Axle Pin Long without Friction with  2L Axle","Medium Blue Violet",1,65249.dat,213
"Technic Pin Towball with Friction","Light Grey",1,6628.dat,7
